Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,26.510000,26.510000,26.510000,26.510000,26.088099,0
2020-12-02,26.540001,26.540001,26.540001,26.540001,26.117620,0
2020-12-03,26.900000,26.900000,26.900000,26.900000,26.471889,0
2020-12-04,27.160000,27.160000,27.160000,27.160000,26.727753,0
2020-12-07,27.040001,27.040001,27.040001,27.040001,26.609663,0
2020-12-08,26.790001,26.790001,26.790001,26.790001,26.363642,0
2020-12-09,26.650000,26.650000,26.650000,26.650000,26.225868,0
2020-12-10,27.170000,27.170000,27.170000,27.170000,26.737593,0
2020-12-11,26.950001,26.950001,26.950001,26.950001,26.521095,0
2020-12-14,27.180000,27.180000,27.180000,27.180000,26.747435,0
2020-12-15,27.639999,27.639999,27.639999,27.639999,27.200113,0
2020-12-16,28.340000,28.340000,28.340000,28.340000,27.888973,0
2020-12-17,28.920000,28.920000,28.920000,28.920000,28.459742,0
2020-12-18,29.350000,29.350000,29.350000,29.350000,28.882900,0
2020-12-21,29.400000,29.400000,29.400000,29.400000,28.932102,0
2020-12-22,29.040001,29.040001,29.040001,29.040001,28.577835,0
2020-12-23,28.750000,28.750000,28.750000,28.750000,28.292448,0
2020-12-24,28.410000,28.410000,28.410000,28.410000,27.957857,0
2020-12-28,29.000000,29.000000,29.000000,29.000000,28.538469,0
2020-12-29,28.889999,28.889999,28.889999,28.889999,28.430220,0
2020-12-30,29.930000,29.930000,29.930000,29.930000,29.453669,0
2020-12-31,29.790001,29.790001,29.790001,29.790001,29.315897,0
2021-01-04,29.790001,29.790001,29.790001,29.790001,29.315897,0
2021-01-05,31.950001,31.950001,31.950001,31.950001,31.441521,0
2021-01-06,32.810001,32.810001,32.810001,32.810001,32.287834,0
2021-01-07,32.860001,32.860001,32.860001,32.860001,32.337040,0
2021-01-08,33.040001,33.040001,33.040001,33.040001,32.514175,0
2021-01-11,32.410000,32.410000,32.410000,32.410000,31.894197,0
2021-01-12,32.830002,32.830002,32.830002,32.830002,32.307514,0
2021-01-13,32.529999,32.529999,32.529999,32.529999,32.012287,0
2021-01-14,33.349998,33.349998,33.349998,33.349998,32.819237,0
2021-01-15,32.360001,32.360001,32.360001,32.360001,31.844995,0
2021-01-19,32.200001,32.200001,32.200001,32.200001,31.687544,0
2021-01-20,31.700001,31.700001,31.700001,31.700001,31.195499,0
2021-01-21,30.629999,30.629999,30.629999,30.629999,30.142527,0
2021-01-22,31.180000,31.180000,31.180000,31.180000,30.683775,0
2021-01-25,30.930000,30.930000,30.930000,30.930000,30.437754,0
2021-01-26,30.719999,30.719999,30.719999,30.719999,30.231096,0
2021-01-27,30.209999,30.209999,30.209999,30.209999,29.729212,0
2021-01-28,31.059999,31.059999,31.059999,31.059999,30.565685,0
2021-01-29,31.139999,31.139999,31.139999,31.139999,30.644411,0
2021-02-01,31.150000,31.150000,31.150000,31.150000,30.654251,0
2021-02-02,32.040001,32.040001,32.040001,32.040001,31.530088,0
2021-02-03,32.770000,32.770000,32.770000,32.770000,32.248470,0
2021-02-04,33.439999,33.439999,33.439999,33.439999,32.907806,0
2021-02-05,33.880001,33.880001,33.880001,33.880001,33.340805,0
2021-02-08,35.689999,35.689999,35.689999,35.689999,35.121994,0
2021-02-09,36.020000,36.020000,36.020000,36.020000,35.446747,0
2021-02-10,36.099998,36.099998,36.099998,36.099998,35.525471,0
2021-02-11,36.869999,36.869999,36.869999,36.869999,36.283218,0
2021-02-12,37.560001,37.560001,37.560001,37.560001,36.962242,0
2021-02-16,38.299999,38.299999,38.299999,38.299999,37.690460,0
2021-02-17,38.740002,38.740002,38.740002,38.740002,38.123463,0
2021-02-18,38.160000,38.160000,38.160000,38.160000,37.552689,0
2021-02-19,38.849998,38.849998,38.849998,38.849998,38.231705,0
2021-02-22,38.189999,38.189999,38.189999,38.189999,37.582211,0
2021-02-23,36.910000,36.910000,36.910000,36.910000,36.322582,0
2021-02-24,37.860001,37.860001,37.860001,37.860001,37.257462,0
2021-02-25,36.910000,36.910000,36.910000,36.910000,36.322582,0
2021-02-26,36.240002,36.240002,36.240002,36.240002,35.663246,0
2021-03-01,36.980000,36.980000,36.980000,36.980000,36.391468,0
2021-03-02,36.540001,36.540001,36.540001,36.540001,35.958473,0
2021-03-03,37.509998,37.509998,37.509998,37.509998,36.913033,0
2021-03-04,36.730000,36.730000,36.730000,36.730000,36.145447,0
2021-03-05,37.560001,37.560001,37.560001,37.560001,36.962242,0
